"30","DJ Moore","WR","CHI","3.5","13.4","11.6","23.1","45","7.6","9.4","7.5","3.9","8.4","19.1","16.9","BYE","23.8","7.2","3.3","26.4","8.4","14","238.5"
"31","A.J. Brown","WR","PHI","11.4","4.9","17.6","34","15.7","16.6","24.7","29","16.1","BYE","1.3","12.2","15.4","11.9","8.1","11","7.3","-0.6","13.9","236.6"
"32","Rachaad White","RB","TB","5.9","18.8","5.7","9.3","BYE","5.3","12.9","14.4","25.9","16.8","14.8","12","18.1","20.5","20.9","16.7","6.6","11.3","13.9","235.9"
"33","Geno Smith","QB","SEA","9.1","23.1","16.4","8.7","BYE","13","14.8","15.9","3.7","24.1","13.2","8.3","31","-","-","17.3","16.9","20.4","15.7","235.8"
"34","Derrick Henry","RB","BAL","12.9","17","2","23.9","7.7","18.3","-","14.2","17.7","2.5","4.9","20.1","24.5","17.6","3","20.9","4.2","21.3","13.7","232.7"
"35","Keenan Allen","WR","CHI","11.2","27.1","36.5","10.7","-","18","7.5","10.9","11.7","35","22.6","15.6","8.3","9.8","-","-","-","-","17.3","224.9"
"36","Nico Collins","WR","HOU","11","24.1","4.4","32.3","5.4","10","BYE","5","12.9","-","10","19.9","29.6","1.8","-","11.8","12.2","30","14.7","220.4"
"37","Stefon Diggs","WR","HOU","21.2","10.1","15.1","33","20.1","15","14.8","11.5","19.6","4.9","4.7","16.4","-","4.4","6.8","5.4","5.1","12.2","13","220.3"
"38","Bijan Robinson","RB","ATL","17.3","19.2","8","16.2","10.8","10.5","0.3","12.2","4.9","17.1","BYE","25.8","9.4","17.3","-0.1","15.7","10.1","22.6","12.8","217.3"
"39","Jahmyr Gibbs","RB","DET","7","9.1","8.7","7.1","-","-","23.1","27.4","BYE","24.7","18.5","9.3","5.9","15.7","23.8","22","4.8","9","14.4","216.1"
"40","Davante Adams","WR","LV","9.6","17.4","35.7","11.5","6.5","3.9","9.2","1.6","5.4","11.6","17.7","9.8","BYE","8.8","20.1","0.9","31.1","13.1","12.6","213.9"
"41","Deebo Samuel Sr.","WR","SF","8.8","19.1","22.1","0.6","10","1.1","-","-","BYE","13.9","7.7","18.9","33.8","30.5","19.9","7.4","15.7","4.2","14.2","213.7"
"42","Ja'Marr Chase","WR","CIN","6.6","5.6","20.1","10.8","44.7","11","BYE","20.2","6.1","20.9","8.2","10.1","26.1","4.4","8.4","-","5.6","3.9","13.3","212.7"
"43","Brandon Aiyuk","WR","SF","28.9","5.8","-","17.8","7.8","9.6","8.2","13.4","BYE","13","24.1","12","13.1","13.6","5.2","14.3","20.9","4","13.2","211.7"
"44","James Cook","RB","BUF","8.3","17.9","12.2","14.2","3.6","7.1","17.7","7.8","5.9","11","17.7","13","BYE","22.6","35.1","5","4.9","6.7","12.4","210.7"
"45","Joshua Dobbs","QB","SF","1","25.2","17.1","23.4","10.7","11.1","16.1","24.9","24.9","25.1","17.9","8.5","-","4.6","-","-","-","-","16.2","210.7"
"46","Gardner Minshew II","QB","LV","0","11.1","13.1","-","6.3","12.6","28.1","15.8","9.6","6.7","-","15.6","18.7","15.1","20.6","10.1","13.3","8.5","12.8","205.2"
"47","Saquon Barkley","RB","PHI","7.8","24.2","-","-","-","11.8","17.3","14.3","12.8","6.6","28","5.7","-","21.6","4.7","17.9","7.3","22.7","14.5","202.7"
"48","David Montgomery","RB","DET","13.4","11.9","-","33.1","19.9","3.8","-","-","BYE","17.6","16.8","15.1","12","10","9.2","13.9","12.5","10","14.2","199.2"
"49","Sam LaPorta","TE","DET","6.4","8.8","18.4","7.6","18.2","5.6","8.2","15.7","BYE","6","5.3","15.2","24.5","3.7","26.1","3.3","11.9","11.4","11.5","196.3"
"50","Michael Pittman Jr.","WR","IND","19.7","9.6","12.2","4","7.7","15.4","15.3","14","10.4","12.4","BYE","15.7","22","15.5","9.8","-","7.1","4.9","12.2","195.7"
"51","Alvin Kamara","RB","NO","-","-","-","14.9","17.2","13.9","23.3","25","9","15","BYE","13.9","25.9","12","13.5","6","5.9","-","15","195.5"
"52","Tony Pollard","RB","TEN","21.2","16.4","13.6","7.5","6.4","14","BYE","6","7.8","5.5","16","19.3","15.8","13.1","6.7","4.8","5.4","15.6","11.5","195.1"
"53","DK Metcalf","WR","SEA","12.2","10.5","14.2","10.9","BYE","8.9","-","9.2","5.5","13.3","17.9","4.7","34.4","12.2","10.3","13.6","13.1","1.5","12","192.4"
"54","Calvin Ridley","WR","TEN","20.1","4.2","5.5","10.8","17.1","4.6","1","11.3","-","3","27.6","19.4","5.3","7.3","6.4","22.8","5.9","19.6","11.3","191.9"
"54","Isiah Pacheco","RB","KC","7.4","7.5","14.8","23.3","12.9","12.8","14","5.2","6.6","BYE","9.6","23.4","19.8","-","-","8.6","26","-","13.7","191.9"
"56","Amari Cooper","WR","CLE","5.2","12.5","21.1","2.1","BYE","12.8","3.2","11.9","22.4","12.8","5.4","2.6","4.9","9.2","18.9","46","-","-","12.7","191"
"57","Jerome Ford","RB","CLE","1.6","22.6","18.1","7","BYE","10.1","16.4","4.4","10.2","11.4","10.9","9.9","12.7","10.7","5.1","8.8","25.1","4.2","11.1","189.2"
"58","Desmond Ridder","QB","ARI","8.4","22.4","6.3","8.2","26.2","19.1","13.8","3.4","-","8.7","-","11.7","8.8","26.4","8.9","-","-0.3","16.6","12.6","188.6"
"59","James Conner","RB","ARI","9.5","16.6","18.6","6.1","4.6","-","-","-","-","7.3","7.3","5.2","22.5","BYE","16.4","19.7","25.8","28.4","14.5","188"
"60","Chris Olave","WR","NO","15.2","11.6","14.4","0.9","8.2","13.1","9.2","7.1","13.6","18.4","BYE","14.9","14.4","10.8","-","18.8","4.1","13.1","11.7","187.8"
"61","DeVonta Smith","WR","PHI","14.2","21.1","4.8","11.3","1.1","6.9","6.9","19.4","12.6","BYE","12.9","20.1","20.1","7.8","7.5","15.9","4.5","-","11.7","187.1"
"62","Jordan Addison","WR","MIN","14.1","14.7","8.2","0","15.4","10.3","27.8","17.9","7.7","8.9","5.9","6.9","BYE","3.7","26.1","0.7","4.3","13.7","11","186.3"
"63","DeAndre Hopkins","WR","TEN","10","6","6.3","8.3","18","2.5","BYE","32.8","8.5","4.2","13.9","6.4","16.4","21.9","3.1","3","10.7","14.1","10.9","186.1"
"64","Jayden Reed","WR","GB","5.6","17.7","7.8","9","1.2","BYE","9.6","10.3","5.5","16.9","17.2","13","3.6","16.5","14.2","-","23.9","13.2","11.6","185.2"
"65","Kenneth Walker III","RB","SEA","8.7","17.9","29.1","13.9","BYE","16.4","12.1","7.5","2.2","19.2","2.1","-","-","7.4","18.7","6.1","15","8.6","12.3","184.9"
"66","Jakobi Meyers","WR","LV","24.6","-","12","4.3","17","14.6","14.5","2.4","12.5","3.1","6.9","17.1","BYE","5","14.7","5.7","8.6","20.1","11.4","183.1"
"67","Brandon Aubrey","K","DAL","10","18","11","12","6","8","BYE","13","7","7","9","9","15","22","4","9","11","10","10.6","181"
"67","Najee Harris","RB","PIT","4.3","4.8","6.5","10.8","4.5","BYE","14.3","8","14.6","17.1","4.1","15.9","8.7","6.3","1.3","13.8","24.2","21.8","10.6","181"
"67","Gus Edwards","RB","LAC","5.2","12.2","5.1","5.9","4.8","5.8","20.9","28.4","17.2","9.3","20","4.2","-","1.5","13.4","13.5","10.8","2.8","10.6","181"
"70","Brian Robinson Jr.","RB","WAS","13.1","27.9","7","12.1","6.3","12.6","8.3","8.9","11.2","24.7","16.7","7.4","5.3","BYE","-","-","9.6","9","12","180.1"
"71","D'Andre Swift","RB","CHI","0.8","25.6","14.3","15.9","13.8","13.8","9","13.4","8.4","-","18.2","8.9","3","3.9","8.5","15.2","7.1","-","11.2","179.8"
"72","Adam Thielen","WR","CAR","2.2","16.9","26","11.7","22.2","23","BYE","11.2","5.4","7.2","11.4","0.7","4","9.9","6.3","12.4","6.8","2.2","10.6","179.5"
"73","Dallas Cowboys","DST","DAL","37","15","1","27","-1","4","BYE","15","2","8","21","16","-1","11","0","1","6","16","10.5","178"
"74","George Pickens","WR","PIT","6.1","20.7","9.5","4","23.6","BYE","13.2","8.7","0.9","6","5.7","7.3","10.6","4.4","6.2","33.5","16.6","0.3","10.4","177.3"
"75","De'Von Achane","RB","MIA","-","1.4","49.3","25.5","21","-","-","-","-","BYE","1","-","23.8","9.6","7.7","3.6","21.7","12.6","16.1","177.2"
"76","Baltimore Ravens","DST","BAL","11","3","7","17","6","11","14","6","15","14","6","15","BYE","7","9","15","10","8","10.2","174"
"77","Evan Engram","TE","JAC","7.4","8.7","10.2","9.4","4.8","7.6","7","11.8","BYE","3.2","4.9","7.4","18.7","27","4.8","12.5","9","18.9","10.2","173.3"
"78","Rashee Rice","WR","KC","10.1","3","8.4","4.7","11.3","9.2","14.5","7.6","8.7","BYE","6.2","20.7","10.4","14.7","19.6","8.7","15.2","-","10.8","173"
"79","Travis Kelce","TE","KC","-","10.6","16.4","9","17.7","16.9","29.9","8.8","2.9","BYE","11.9","12.1","10.1","11.3","5.3","6.9","3.1","-","11.5","172.9"
"80","T.J. Hockenson","TE","MIN","7.5","22.1","9.8","3.4","7.6","8","14.1","17.8","10.4","24.9","7.5","13.5","BYE","7.8","9.3","7.8","-","-","11.4","171.5"
"81","George Kittle","TE","SF","3.4","4.5","12.5","1.4","26.2","0.6","10.5","19.4","BYE","19.1","18.9","3.4","8.8","15.1","6.4","16.1","4.4","-","10.7","170.7"
"82","Justin Jefferson","WR","MIN","19.5","19.4","24.4","23.5","4.3","-","-","-","-","-","-","-","BYE","3.7","11.9","23.1","8.4","30","16.8","168.2"
"83","Zay Flowers","WR","BAL","13.2","8.8","9","6.5","9.8","14.1","9.5","4.4","1.6","9.8","6.5","20.7","BYE","17","1.2","17.7","18.1","-","10.5","167.9"
"84","Chris Godwin","WR","TB","7.6","8.3","6.7","15.4","BYE","10.7","9.6","15.3","2.6","7.4","6.9","6","7.9","7.8","20.5","10.9","15.6","8.5","9.9","167.7"
"85","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","12.7","BYE","14.5","12","9.2","6.2","8.1","8.1","7.5","7.6","22.2","3.7","4.2","10.4","166.4"
"86","Jaylen Warren","RB","PIT","4.3","10.6","6.7","8.5","9.4","BYE","9.6","5.8","12.8","18","22","5.7","6","6","9.3","7.9","17.8","5.5","9.8","165.9"
"87","Garrett Wilson","WR","NYJ","11.9","15.3","7.3","10.5","6.9","13","BYE","14.1","9.5","13.8","-0.1","13.9","6.5","15.6","4.4","11.3","7.4","4.4","9.7","165.7"
"88","Terry McLaurin","WR","WAS","4.1","13.9","7.1","12.6","6.9","11.1","12","14.8","9.8","5.3","6.8","7","0","BYE","23.1","6.5","14.1","8.6","9.6","163.7"
"89","Chuba Hubbard","RB","CAR","7.9","7.5","1.4","6.3","4","15.5","BYE","6.4","8.7","4.9","7.5","17.7","22.4","10.6","11.3","11.6","9.1","10.2","9.6","163"
"90","Tyler Lockett","WR","SEA","2","21.9","6.9","7.4","BYE","12.4","5.8","18.1","4.7","19.2","7.6","4.5","7.2","11.9","3.6","12.1","1.5","16.1","9.6","162.9"
"91","Jaylen Waddle","WR","MIA","9.8","10.4","-","6.6","12","14.6","9.3","21.6","6.9","BYE","7.5","15.4","7.7","10.9","24.2","5.7","-","-","11.6","162.6"
"92","Josh Jacobs","RB","GB","8.1","7.4","9.5","23.9","17.4","10.3","4.6","15.8","21.8","11.7","5.6","20.5","-","6","-","-","-","-","12.5","162.6"
"93","David Njoku","TE","CLE","3.4","4.8","4","7.6","BYE","3.9","7.9","15.7","10.6","8.8","9.1","8.9","2.7","24.1","21.4","13.4","14.4","-","10","160.7"
"94","Courtland Sutton","WR","DEN","11.2","9.1","15.1","10.2","1.8","12.6","16.6","9.9","BYE","13.3","14.6","7.6","14.7","13.7","9.6","0","-","0.7","10","160.7"
"95","Justin Tucker","K","BAL","5","11","7","4","4","19","8","8","14","7","11","10","BYE","12","12","16","8","4","9.4","160"
"96","Austin Ekeler","RB","WAS","24.4","-","-","-","-","8.2","5.1","19.8","20","19.5","6","6.9","3.7","18.5","5.8","10.1","3.5","8.4","11.4","159.9"
"97","Buffalo Bills","DST","BUF","5","10","32","9","9","7","2","6","1","6","21","2","BYE","6","9","5","17","12","9.4","159"
"98","Jason Myers","K","SEA","8","7","18","6","BYE","9","9","6","3","21","15","9","5","5","9","8","13","7","9.3","158"
"98","Cairo Santos","K","CHI","7","7","4","4","17","9","8","1","5","12","17","14","BYE","11","6","10","15","11","9.3","158"
"100","Matt Gay","K","IND","3","8","24","1","12","10","8","10","11","6","BYE","10","14","0","13","4","12","11","9.2","157"
"101","Zack Moss","RB","CIN","-","18.7","21.5","9","32.5","14.9","6.7","13.9","2.6","0.2","-","8","6.7","7.6","10.8","-","-","3","11.2","156.1"
"102","Jake Elliott","K","PHI","18","12","11","18","11","2","7","10","4","BYE","3","9","7","10","5","17","8","4","9.2","156"
"103","Javonte Williams","RB","DEN","7.7","6.8","7.5","2.4","-","7.2","11.1","17.3","BYE","19","6.3","8.6","8.5","16.6","3","9.4","7.3","17","9.7","155.7"
"104","Kirk Cousins","QB","ATL","17.5","28.6","26.7","11.6","19.9","8.7","22","19.9","-","-","BYE","-","-","-","-","-","-","-","19.3","154.7"
"105","Harrison Butker","K","KC","8","5","12","11","10","17","7","11","3","BYE","6","7","7","5","11","2","24","8","9.1","154"
"105","New York Jets","DST","NYJ","20","0","1","7","18","11","BYE","8","5","8","2","13","9","12","2","8","12","18","9.1","154"
"107","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","14.8","BYE","27.6","22.3","21.9","8.7","-","-","-","-","-","-","-","15.3","153.2"
"108","Cleveland Browns","DST","CLE","9","7","12","4","BYE","6","16","5","23","15","7","2","-4","12","13","7","15","4","9","153"
"109","Devin Singletary","RB","NYG","1.5","2.9","5.5","8.3","0","6.7","-","5.3","3.6","22.6","18.8","10.2","4.5","12.5","19","7.8","10.1","13","9","152.3"
"110","Miami Dolphins","DST","MIA","2","9","8","-2","11","5","12","6","5","BYE","12","21","12","12","24","7","-1","9","8.9","152"
"111","Kyler Murray","QB","ARI","-","-","-","-","-","-","-","-","-","18.3","22.7","20.4","11.8","BYE","15.3","20.4","24.7","17.8","18.9","151.4"
"112","Cameron Dicker","K","LAC","12","10","4","6","BYE","5","7","16","11","9","8","4","6","1","3","21","13","15","8.9","151"
"113","Jake Browning","QB","CIN","-0.1","-","-","-","-","-","BYE","-","-","-","10.7","13","26.2","24.7","20","16.4","21.1","19","16.8","150.9"
"114","Blake Grupe","K","NO","12","8","5","10","14","9","11","8","8","4","BYE","19","4","4","8","2","12","12","8.8","150"
"115","Ezekiel Elliott","RB","DAL","4.8","1.3","9.2","3.2","5.8","11.4","9.1","3.6","4.7","9.8","-","6.2","11.2","23.5","7.1","16.5","11","10.6","8.8","149"
